nom;type;date;heure;rythme;jours;semaine_rotation;canal;message;image_url;texte_bouton;lien_bouton;question;reponses;bonnes_reponses;explication;anonyme;choix_multiples;silencieux;actif;tous_les_canaux;canaux
La semaine commence maintenant;message;10/08/2026;00:00;unique;;;@BECTANSE_ACADEMIE;"🌙 *LA SEMAINE COMMENCE MAINTENANT*

Avant de dormir, prends dix minutes pour toi. Pas pour chercher un trade : pour écrire ton risque maximal, tes priorités et la règle que tu refuses de négocier cette semaine.

Demain à 09:00, je veux te retrouver devant les graphiques avec un plan — pas avec l’envie de te rattraper.

Repose-toi bien l’équipe. On attaque proprement. 🔥";;PRÉPARER MON PLAN;https://acces.bectanse-academie.com/;;;;;oui;non;oui;oui;oui;
Ouverture Londres — cap sur le plan;message;10/08/2026;09:00;unique;;;@BECTANSE_ACADEMIE;"🇬🇧 *LONDRES EST OUVERTE*

Ce matin, je veux que tu fasses simple : repère tes niveaux, écris ton invalidation et attends que le prix vienne à toi.

Un trader solide n’a pas besoin d’être le premier dans le mouvement. Il a besoin de savoir pourquoi il y entre.

On observe. On confirme. Puis seulement, on agit. 🔥";https://acces.bectanse-academie.com/static/telegram-visuals/01-session-londres-ouverte-v2.webp;VOIR LE PLAN LONDRES;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Quiz discipline du lundi;quiz;10/08/2026;10:00;unique;;;@BECTANSE_ACADEMIE;;;APPROFONDIR AVEC BECTANSE;https://acces.bectanse-academie.com/;Qu’est-ce qui construit le plus une performance durable en trading ?;La chance|Une discipline répétée|Le signal parfait|Trader plus souvent;2;La discipline permet d’appliquer le même processus, de mesurer ses décisions et de protéger le capital.;oui;non;non;oui;oui;
Le point d’analyse du lundi;message;10/08/2026;11:00;unique;;;@BECTANSE_ACADEMIE;"📊 *TON ANALYSE DOIT RÉPONDRE À 3 QUESTIONS*

1. Où le scénario devient-il intéressant ?
2. Où devient-il invalide ?
3. Quel risque es-tu prêt à accepter ?

Retrouve les mises à jour disponibles dans ton espace et prépare ton plan avant d’agir.";;VOIR L’ANALYSE DU JOUR;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Fenêtre des premiers signaux;message;10/08/2026;12:00;unique;;;@BECTANSE_ACADEMIE;"🚨 *LA FENÊTRE DE SURVEILLANCE APPROCHE*

Les premiers scénarios de la journée sont étudiés.

S’il n’y a pas de configuration propre, on ne force rien. S’il y en a une, les membres en place la verront au bon moment.

Prépare ton risque avant l’alerte, pas après.";https://acces.bectanse-academie.com/static/telegram-visuals/07-derniere-alerte-disponible-v2.webp;OUVRIR LES ALERTES;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Pré-session US du lundi;message;10/08/2026;14:00;unique;;;@BECTANSE_ACADEMIE;"🇺🇸 *SESSION US DANS 30 MINUTES*

Avant que le rythme accélère, pose deux scénarios sur papier : ce qui valide ton idée et ce qui l’annule.

Si rien n’est propre, tu ne dois rien au marché. Savoir rester en dehors fait partie du métier.

À 15:00, on se retrouve concentrés et prêts. 🎯";https://acces.bectanse-academie.com/static/telegram-visuals/02-session-americaine-t30-v2.webp;PRÉPARER LA SESSION US;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Session US Bectanse — lundi;message;10/08/2026;15:00;unique;;;@BECTANSE_ACADEMIE;"🇺🇸 *SESSION US BECTANSE OUVERTE*

Le plan est posé. Le risque est défini. Maintenant, on laisse le marché confirmer — ou invalider.

Ne cours pas après le prix.

L’équipe est en place. 🎯";;REJOINDRE LE DESK US;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Vérification des alertes — lundi;message;10/08/2026;16:00;unique;;;@BECTANSE_ACADEMIE;"🔔 *POINT ALERTES*

Une configuration propre respecte le plan, le niveau d’invalidation et le risque prévu.

Consulte ton espace pour vérifier si une nouvelle alerte répond aujourd’hui à ces critères.

Pas d’alerte ? Pas de trade forcé.";https://acces.bectanse-academie.com/static/telegram-visuals/07-derniere-alerte-disponible-v2.webp;OUVRIR LES ALERTES;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Le choix du lundi soir;message;10/08/2026;20:30;unique;;;@BECTANSE_ACADEMIE;"🌙 *JE VAIS ÊTRE DIRECT AVEC TOI*

Ta semaine ne se transforme pas vendredi soir. Elle se transforme dans les décisions que tu répètes dès maintenant.

Si tu veux arrêter d’avancer seul, retrouve nos analyses, nos alertes et le cadre de travail de l’équipe Bectanse.

Demain, on continue. Ton premier pas peut commencer ce soir.";;COMMENCER AVEC L’ÉQUIPE;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Clôture du lundi, préparation du mardi;message;11/08/2026;00:00;unique;;;@BECTANSE_ACADEMIE;"🌙 *AVANT DE FERMER LES ÉCRANS*

Note une décision dont tu es fier et une erreur que tu ne veux pas revoir demain. C’est ce travail discret qui fait progresser un trader.

Mardi, on attaque la gestion du risque avec du concret.

Bonne nuit l’équipe. Rendez-vous à 09:00.";;PRÉPARER MA JOURNÉE;https://acces.bectanse-academie.com/;;;;;oui;non;oui;oui;oui;
