nom;type;date;heure;rythme;jours;semaine_rotation;canal;message;image_url;texte_bouton;lien_bouton;question;reponses;bonnes_reponses;explication;anonyme;choix_multiples;silencieux;actif;tous_les_canaux;canaux
La semaine commence maintenant;message;10/08/2026;00:00;unique;;;@BECTANSE_ACADEMIE;"🌙 *LA SEMAINE COMMENCE MAINTENANT*

Les écrans peuvent attendre quelques heures. Ton plan, lui, ne doit pas attendre lundi matin.

Fixe ton risque. Note tes priorités. Repose-toi.

À 09:00, on se retrouve avec une seule mission : exécuter avec discipline.

Bonne nuit l’équipe. 🔥";;;;;;;;oui;non;oui;oui;oui;
Ouverture Londres — cap sur le plan;message;10/08/2026;09:00;unique;;;@BECTANSE_ACADEMIE;"🇬🇧 *LONDRES EST LANCÉE*

Nouvelle semaine. Nouveau terrain de jeu. Même règle : pas d’entrée sans scénario.

Observe d’abord. Décide ensuite.

Qui est déjà devant ses graphiques ? 🔥";;;;;;;;oui;non;non;oui;oui;
Quiz discipline du lundi;quiz;10/08/2026;10:00;unique;;;@BECTANSE_ACADEMIE;;;;;Qu’est-ce qui construit le plus une performance durable en trading ?;La chance|Une discipline répétée|Le signal parfait|Trader plus souvent;2;La discipline permet d’appliquer le même processus, de mesurer ses décisions et de protéger le capital.;oui;non;non;oui;oui;
Le point d’analyse du lundi;message;10/08/2026;11:00;unique;;;@BECTANSE_ACADEMIE;"📊 *TON ANALYSE DOIT RÉPONDRE À 3 QUESTIONS*

1. Où le scénario devient-il intéressant ?
2. Où devient-il invalide ?
3. Quel risque es-tu prêt à accepter ?

Retrouve les mises à jour disponibles dans ton espace et prépare ton plan avant d’agir.

_Le trading comporte un risque de perte. Aucun résultat n’est garanti._";;VOIR L’ANALYSE;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Fenêtre des premiers signaux;message;10/08/2026;12:00;unique;;;@BECTANSE_ACADEMIE;"🚨 *LA FENÊTRE DE SURVEILLANCE APPROCHE*

Les premiers scénarios de la journée sont étudiés.

S’il n’y a pas de configuration propre, on ne force rien. S’il y en a une, les membres en place la verront au bon moment.

Prépare ton risque avant l’alerte, pas après.";;REJOINDRE LA SESSION;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Pré-session US du lundi;message;10/08/2026;14:00;unique;;;@BECTANSE_ACADEMIE;"🇺🇸 *LE DESK US SE PRÉPARE*

La deuxième partie de journée peut changer le rythme du marché.

Pas besoin d’anticiper chaque mouvement : prépare deux scénarios et accepte aussi celui où tu ne trades pas.

Rendez-vous à 15:00. 🔥";;;;;;;;oui;non;non;oui;oui;
Session US Bectanse — lundi;message;10/08/2026;15:00;unique;;;@BECTANSE_ACADEMIE;"🇺🇸 *SESSION US BECTANSE OUVERTE*

Le plan est posé. Le risque est défini. Maintenant, on laisse le marché confirmer — ou invalider.

Ne cours pas après le prix.

L’équipe est en place. 🎯";;;;;;;;oui;non;non;oui;oui;
Vérification des alertes — lundi;message;10/08/2026;16:00;unique;;;@BECTANSE_ACADEMIE;"🔔 *POINT ALERTES*

Une configuration propre respecte le plan, le niveau d’invalidation et le risque prévu.

Consulte ton espace pour vérifier si une nouvelle alerte répond aujourd’hui à ces critères.

Pas d’alerte ? Pas de trade forcé.";;VÉRIFIER LES ALERTES;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Le choix du lundi soir;message;10/08/2026;20:30;unique;;;@BECTANSE_ACADEMIE;"🌙 *TA SEMAINE NE SE DÉCIDE PAS VENDREDI*

Elle se décide dans les habitudes que tu poses maintenant.

Si tu veux une structure, des analyses et un espace pour suivre les alertes, tu peux commencer ce soir.

Demain, on continue. Mais ton premier pas peut être maintenant.

_Le trading comporte un risque de perte. Aucun gain n’est garanti._";;COMMENCER MAINTENANT;https://acces.bectanse-academie.com/;;;;;oui;non;non;oui;oui;
Clôture du lundi, préparation du mardi;message;11/08/2026;00:00;unique;;;@BECTANSE_ACADEMIE;"🌙 *LE MARCHÉ S’ARRÊTE, L’APPRENTISSAGE RESTE*

Avant de fermer : note une décision correcte et une erreur à ne pas répéter.

Demain, on travaille la gestion du risque — le sujet que beaucoup ignorent jusqu’au jour où il est trop tard.

Rendez-vous à 09:00. Bonne nuit l’équipe.";;;;;;;;oui;non;oui;oui;oui;
